name,sex,age,height,weight,bmi,country,year,season,host country,sport,event,medal
Olga Viktorovna Nikolayeva,F,32.0,190.0,74.0,20.5,Russia,2004,Summer,Greece,Volleyball,Volleyball Women's Volleyball,Silver
Jelena Nikoli,F,34.0,194.0,79.0,20.99,Serbia,2016,Summer,Brazil,Volleyball,Volleyball Women's Volleyball,Silver
Andrey Vasilyevich Nikolishin,M,28.0,179.0,97.0,30.27,Russia,2002,Winter,United States,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Rohullah Nikpai,M,21.0,183.0,63.0,18.81,Afghanistan,2008,Summer,China,Taekwondo,Taekwondo Men's Flyweight,Bronze
Rohullah Nikpai,M,25.0,183.0,63.0,18.81,Afghanistan,2012,Summer,United Kingdom,Taekwondo,Taekwondo Men's Featherweight,Bronze
Irina Kostadinova Nikulchina,F,27.0,172.0,55.0,18.59,Bulgaria,2002,Winter,United States,Biathlon,Biathlon Women's 10 kilometres Pursuit,Bronze
Andreas Oliver Nilsson,M,22.0,197.0,114.0,29.37,Sweden,2012,Summer,United Kingdom,Handball,Handball Men's Handball,Silver
"David Wayne ""Dave"" Nilsson",M,34.0,193.0,110.0,29.53,Australia,2004,Summer,Greece,Baseball,Baseball Men's Baseball,Silver
Hans Henrik Nilsson,M,28.0,190.0,86.0,23.82,Sweden,2004,Summer,Greece,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
Tpp Karin Stina Nilsson,F,20.0,174.0,68.0,22.46,Sweden,2014,Winter,Russia,Cross Country Skiing,Cross Country Skiing Women's Team Sprint,Bronze
Stefan Nimke,M,26.0,186.0,94.0,27.17,Germany,2004,Summer,Greece,Cycling,"Cycling Men's 1,000 metres Time Trial",Bronze
Stefan Nimke,M,26.0,186.0,94.0,27.17,Germany,2004,Summer,Greece,Cycling,Cycling Men's Team Sprint,Gold
Stefan Nimke,M,30.0,186.0,94.0,27.17,Germany,2008,Summer,China,Cycling,Cycling Men's Team Sprint,Bronze
Ivan Ninevi,M,30.0,184.0,88.0,25.99,Croatia,2012,Summer,United Kingdom,Handball,Handball Men's Handball,Bronze
Gnonsiane Niombla,F,26.0,172.0,69.0,23.32,France,2016,Summer,Brazil,Handball,Handball Women's Handball,Silver
Kei Nishikori,M,26.0,178.0,74.0,23.36,Japan,2016,Summer,Brazil,Tennis,Tennis Men's Singles,Bronze
Masashi Nishiyama,M,27.0,178.0,90.0,28.41,Japan,2012,Summer,United Kingdom,Judo,Judo Men's Middleweight,Bronze
Rei Nishiyama,F,24.0,167.0,62.0,22.23,Japan,2008,Summer,China,Softball,Softball Women's Softball,Gold
Maureen Roxane Nelly Nisima,F,23.0,165.0,63.0,23.14,France,2004,Summer,Greece,Fencing,"Fencing Women's epee, Individual",Bronze
Maureen Roxane Nelly Nisima,F,23.0,165.0,63.0,23.14,France,2004,Summer,Greece,Fencing,"Fencing Women's epee, Team",Bronze
Janne Juhani Niskala,M,28.0,184.0,85.0,25.11,Finland,2010,Winter,Canada,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Iivo Henrik Niskanen,M,22.0,187.0,80.0,22.88,Finland,2014,Winter,Russia,Cross Country Skiing,Cross Country Skiing Men's Team Sprint,Gold
Kerttu Elina Niskanen,F,25.0,172.0,58.0,19.61,Finland,2014,Winter,Russia,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Silver
Kerttu Elina Niskanen,F,25.0,172.0,58.0,19.61,Finland,2014,Winter,Russia,Cross Country Skiing,Cross Country Skiing Women's Team Sprint,Silver
Steliana Nistor,F,18.0,149.0,43.0,19.37,Romania,2008,Summer,China,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Niu Jianfeng,F,23.0,164.0,51.0,18.96,China,2004,Summer,Greece,Table Tennis,Table Tennis Women's Doubles,Bronze
Koki Niwa,M,21.0,162.0,51.0,19.43,Japan,2016,Summer,Brazil,Table Tennis,Table Tennis Men's Team,Silver
Jayson Truett Edward Nix,M,25.0,180.0,89.0,27.47,United States of America,2008,Summer,China,Baseball,Baseball Men's Baseball,Bronze
Amy Nixon (-Westlund),F,28.0,157.0,54.0,21.91,Canada,2006,Winter,Italy,Curling,Curling Women's Curling,Bronze
Adilbek Sabitovich Niyazymbetov,M,23.0,180.0,81.0,25.0,Kazakhstan,2012,Summer,United Kingdom,Boxing,Boxing Men's Light-Heavyweight,Silver
Adilbek Sabitovich Niyazymbetov,M,27.0,180.0,81.0,25.0,Kazakhstan,2016,Summer,Brazil,Boxing,Boxing Men's Light-Heavyweight,Silver
Denis Gennadyevich Nizhegorodov,M,24.0,174.0,63.0,20.81,Russia,2004,Summer,Greece,Athletics,Athletics Men's 50 kilometres Walk,Silver
Denis Gennadyevich Nizhegorodov,M,28.0,174.0,63.0,20.81,Russia,2008,Summer,China,Athletics,Athletics Men's 50 kilometres Walk,Bronze
Ogonna Nneka Nnamani,F,25.0,185.0,80.0,23.37,United States of America,2008,Summer,China,Volleyball,Volleyball Women's Volleyball,Silver
Cheryl Noble,F,45.0,168.0,57.0,20.2,Canada,2002,Winter,United States,Curling,Curling Women's Curling,Bronze
Olivia Nobs,F,27.0,170.0,58.0,20.07,Switzerland,2010,Winter,Canada,Snowboarding,Snowboarding Women's Boardercross,Bronze
Zofia Noceti-Klepacka,F,26.0,170.0,59.0,20.42,Poland,2012,Summer,United Kingdom,Sailing,Sailing Women's Windsurfer,Bronze
Andrs Marcelo Nocioni Roux,M,24.0,201.0,102.0,25.25,Argentina,2004,Summer,Greece,Basketball,Basketball Men's Basketball,Gold
Andrs Marcelo Nocioni Roux,M,28.0,201.0,102.0,25.25,Argentina,2008,Summer,China,Basketball,Basketball Men's Basketball,Bronze
Mizuki Noguchi,F,26.0,150.0,40.0,17.78,Japan,2004,Summer,Greece,Athletics,Athletics Women's Marathon,Gold
Owen Liam Nolan,M,29.0,185.0,96.0,28.05,Canada,2002,Winter,United States,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Maike Nollen,F,26.0,174.0,65.0,21.47,Germany,2004,Summer,Greece,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
Tadahiro Nomura,M,29.0,164.0,60.0,22.31,Japan,2004,Summer,Greece,Judo,Judo Men's Extra-Lightweight,Gold
Daniel Noonan,M,32.0,187.0,90.0,25.74,Australia,2012,Summer,United Kingdom,Rowing,Rowing Men's Quadruple Sculls,Bronze
Alessandro Nora,M,29.0,191.0,85.0,23.3,Italy,2016,Summer,Brazil,Water Polo,Water Polo Men's Water Polo,Bronze
Anette Charlotte Norberg,F,39.0,174.0,70.0,23.12,Sweden,2006,Winter,Italy,Curling,Curling Women's Curling,Gold
Anette Charlotte Norberg,F,43.0,174.0,70.0,23.12,Sweden,2010,Winter,Canada,Curling,Curling Women's Curling,Gold
"Elina Elisabeth ""Lisa"" Nordn",F,27.0,176.0,60.0,19.37,Sweden,2012,Summer,United Kingdom,Triathlon,Triathlon Women's Olympic Distance,Silver
Sara Maria Evelina Nordenstam,F,25.0,169.0,70.0,24.51,Norway,2008,Summer,China,Swimming,Swimming Women's 200 metres Breaststroke,Bronze
Omid Haji Norouzi,M,26.0,175.0,70.0,22.86,Iran,2012,Summer,United Kingdom,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold
Fredrik Jan Elis Norrena,M,32.0,183.0,86.0,25.68,Finland,2006,Winter,Italy,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
"Petter Northug, Jr.",M,24.0,185.0,82.0,23.96,Norway,2010,Winter,Canada,Cross Country Skiing,Cross Country Skiing Men's Sprint,Bronze
"Petter Northug, Jr.",M,24.0,185.0,82.0,23.96,Norway,2010,Winter,Canada,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Gold
"Petter Northug, Jr.",M,24.0,185.0,82.0,23.96,Norway,2010,Winter,Canada,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
"Petter Northug, Jr.",M,24.0,185.0,82.0,23.96,Norway,2010,Winter,Canada,Cross Country Skiing,Cross Country Skiing Men's Team Sprint,Gold
"Daniel James ""Dan"" Norton",M,28.0,180.0,85.0,26.23,United Kingdom,2016,Summer,Brazil,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Silver
Dmitry Yuryevich Nosov,M,24.0,176.0,175.0,56.5,Russia,2004,Summer,Greece,Judo,Judo Men's Half-Middleweight,Bronze
Sergey Valentinovich Novikov,M,30.0,184.0,75.0,22.15,Belarus,2010,Winter,Canada,Biathlon,Biathlon Men's 20 kilometres,Silver
Anastasiya Aleksandrovna Novikova,F,26.0,150.0,53.0,23.56,Belarus,2008,Summer,China,Weightlifting,Weightlifting Women's Featherweight,Bronze
Olga Nikolayevna Novokshchenova,F,29.0,176.0,60.0,19.37,Russia,2004,Summer,Greece,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
Oktawia Nowacka,F,25.0,180.0,60.0,18.52,Poland,2016,Summer,Brazil,Modern Pentathlon,Modern Pentathlon Women's Individual,Bronze
Wojciech Nowicki,M,27.0,196.0,128.0,33.32,Poland,2016,Summer,Brazil,Athletics,Athletics Men's Hammer Throw,Bronze
Ramaz Nozadze,M,20.0,184.0,96.0,28.36,Georgia,2004,Summer,Greece,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver
Jesper Nddesbo,M,35.0,199.0,100.0,25.25,Denmark,2016,Summer,Brazil,Handball,Handball Men's Handball,Gold
